ORIGINAL_TITLE,PLOT
Citizen USA: A 50 State Road Trip,Documentary about new United States immigrants spanning all fifty states.
Furie,"On June 28, 1914, the assassination of an obscure Austrian archduke in Sarajevo triggers the most disastrous conflict the world has ever known. Germany becomes an enemy to France, invades Belgium, and in September arrives at the gates of Paris. Will Germany win the war so quickly?"
Enfer,"1916. The war is raging in Europe and stretches from the trenches in France to the Italian Alps and the Balkans, and beyond to the gates of the Eastern world. The conflict becomes industrial, and millions of shells rain down on the battlefields; Verdun and the Somme are the deadliest battles in this second year of the war. Who can stop this infernal machine?"
Obsession at the Office (Sheila Davaloo),"When a lovers' spat ends up in the hospital parking lot, a biochemist's obsession with a coworker and her murderous means are exposed."
Living Among Trees,"Master woodworker Rihards Vidzickis fulfills his boyhood dream, carving a dugout canoe from a single piece of wood. Set in Latvia, the beautiful and meditative process of building a canoe unfolds over many months. Narrated by Keanu Reeves."
A Killing in Kansas,"After a Kansas mother disappears, her family and police search for months only to find that her abductor isn't as close as they thought."
The Strange Case of the Killer Nanny,"An eight-month-old baby is fatally injured while in the care of a family's au pair, Louise Woodward. Was it child abuse or a tragic accident? Doctors suspect the former, a case of 'shaken impact syndrome,' and detectives arrest the infant's 19-year-old British nanny who cared for him in the hours and minutes before his demise. But, was the baby's death a case of intentional murder or a tragic accident that occurred under Woodward's watch?"
South Africa,"In this episode, Bourdain visits the suburb of Hillbrow (which remains a dangerous locale), spends a day in the life of a taxi driver and discovers the culture and food that make up modern day Johannesburg."
Gimme Shelter,"When three hundred thousand members of the Love Generation collided with a few dozen Hells Angels at San Francisco's Altamont Speedway, the bloody slash that transformed a decade's dreams into disillusionment was immortalized on this film."
Cassini and the Crown Jewel,"Cassini-Huygens has given us a more detailed account of Saturn than we could have ever imagined. Breathtaking images of Saturn and its sparkling rings, a massive 6-sided polar storm, and 62 moons - including the most bizarre worlds in our solar system -- we have seen them all thanks to Cassini."
01,[HBO] HD. Series premiere. The comedy troupe Asperger's Are Us kicks off a six-week cross-country tour.
Volcano Doctors,Learn how volcanologists try to predict eruptions and protect those who live beneath the Earth's fire.
Hot Ghetto Mess,"Pressure mounts as Jason and the crew get ready for the film's most expensive scene thus far: a wedding rehearsal dinner to be shot during a few short hours at dusk. The production team also begins preparations for last shoot of the film, a complicated and potentially dangerous car-crash scene. Though Len tells Jason the scene may be too ambitious, Effie tries to find a way to carry it off as close to Jason's original vision as possible."
The Secret Lives of Jaguars,The first jaguar scientists struggled to go anywhere near their subjects. But times have changed. There are now a couple of places in the world where seeing a wild jaguar is a possibility rather than a dream.
The Trials of Ted Haggard,"Ted Haggard had it all: prosperity, a doting wife, five kids and a ministry that reached more than 30 million followers who hung on his every word. But in 2006, it all fell apart in a sea of scandal. Journalist/filmmaker Alexandra Pelosi returns to talk with 'Pastor Ted'--whom she met while filming 'Friends of God' for HBO--who was exiled from the church he built and the state where he lived after admitting to 'sexual immorality' and to buying methamphetamines. Following Haggard and his family as they move from house to house and motel to motel, Pelosi interviews the sullied ex-minister as he works as a traveling insurance salesman...and maps out a strategy for redeeming himself and supporting his family."
Mann V. Ford,Follows the Ramapough Indians and their legal team as they take on Ford and the EPA.
Animal Smarts,Jungle Jack counts down some of nature's most intelligent creatures.
World Class Fishing,"The expression fisherman's paradise is often used but absolutely applies to Alaska. Millions of salmon make their annual run and are the state's most famous game fish, and there are also other opportunities for anglers looking for fish."
Paul Robeson: Tribute to an Artist,The life of actor and activist Paul Robeson.
Food of the Future,"This episode will reveal the ways in which our eating habits will be revolutionized: vegetable proteins, urban farming, connected supermarkets, personalized food, new flavor experiences and more."
Liberty: Mother of Exiles,A look at the history of the Statue of Liberty and the meaning of sculptor Auguste Bartholdi's creation to people around the world.
Good Wife,"Only months after their arranged marriage, a young husband from India allegedly beats his wife to death while the two work an overnight shift in the kitchen of a Maryland donut shop."
"Porto, Portugal","Food takes center stage in this tour of the northern Portugal city by Bourdain, whose local travel companions include his former Les Halles boss Jose Meirelles."
Is The Golden State Killer Still Out There?,Investigators analyze the evidence and explore the various theories as to who this ruthless barbarian could be. Perhaps the key to catching the Golden State Killer may lie in another series of unsolved crimes.
New Sealand,"Host Jeff Corwin travels to the island nation of New Zealand for an adventure with the furry seals from down under. Jeff joins a research team racing to protect Fur Seal pups from habitat loss, explores the large Fur Seal Colony off the shores of Kaikoura, and dives with Fur Seals in the crystal clear waters of Milford Sound."
Steller Sea Lions,Host Jeff Corwin teams up with the Alaska SeaLife Center to uncover the reasons behind the decline of some Steller sea lion populations. Jeff travels to remote Grotto Island to witness sea lions in their natural habitat. Jeff also meets a two thousand pound sea lion named Woody and learns about the breeding program at the ASLC.
Part 3: Risky Business,Economist and historian Niall Ferguson examines the roots.
George H.W. Bush vs Michael Dukakis,"Vice President Bush fights off the Iran Contra scandal in his campaign against Democrat Michael Dukakis, attacking him in a series of devastating TV attack ads that sunk Dukakis's campaign."
Jim Jones: Unholy Massacre Part 1,"More than 900 Americans died in an isolated jungle in northern Guyana in November 1978. The man responsible, Jim Jones, has gone down in history as a madman who drove his followers to suicide. But the truth is more complicated, more horrifying, and more tragic than that. This episode dives deep into the life of Jones, from his lonely childhood to his spectacular rise as a charismatic minister sought out by politicians and film stars, and finally, to an almost unimaginable end: the mass murder of those who once called him ""father."""
Buenos Aires,"Bourdain's trip to meat-centric Buenos Aires features a meal at famous local spot, Don Carlito's, and an after-hours soccer match."
Monsters Recede but Never Vanish,"As Michelle's loved ones cope with her sudden death, her work to unmask the Golden State Killer lives on. After inheriting Michelle's 37 boxes of case files, Paul Haynes and Billy Jensen work alongside Patton Oswalt, to finish her book."
Red Rovers,"They are NASA's first family - the wildly popular rovers. Follow the ongoing adventures of Curiosity and flash back to its precursors - twins Spirit and Opportunity, and little Sojourner - as they lift the veil on the mysteries of the Red Planet."
Paradise Lost 2: Revelations,"The case of the West Memphis Three, its questionable circumstances and the parties involved are followed up years later."
Friends of God: A Road Trip with Alexandra Pelosi,"Documentary filmmaker Alexandria Pelosi tours red state America examining the practices, politics and beliefs of fundamentalist evangelical Christians. Interviewees include Jerry Falwell (who kicked her out on learning that her mother is House Speaker Nancy Pelosi) and Ted Haggard, disgraced former leader of the National Association of Evangelicals, and members of the Christian professional wrestling circuit."
Carrie Fisher: Wishful Drinking,"Hollywood icon Carrie Fisher tells her raw and intoxicating true story in this documentary based on her hit stage production. Touching on stardom, mental illness, addiction and more, the actress recounts her peaks and valleys with candor and humor."
The Mystery of Heaven's Gate,"In the mid-1970s, hundreds of people began disappearing without a trace. Families were left wondering about their loved ones for decades until shocking news about a mysterious religious group made headlines around the world."
The Alps: Fire and Ice,A visit to the Alps where glaciers are receding to examine what the stakes are if the melting continues.
Joshua Tree: The Climber's Paradise,It's a rocky ride for Colton and Jack as they explore the Chasm of Doom and climb The Eye of the Cyclops in Joshua Tree National Park.
Episode #23.4,"Chris Evans, Matt LeBlanc and Sabine Schmitz buy cheap second-hand cars and head for Venice. The aim? To prove road travel can be more luxurious than taking the train. Elsewhere, Rory Reid heads to New York to sample the all-electric Tesla Model X, while Chris Harris dons his race helmet to drive the most powerful Aston Martin of all time - the fearsome Vulcan. Bear Grylls and Brian Cox are the Stars in a Rallycross Car."
Louis Theroux: Mothers on the Edge,Louis Theroux visits specialist psychiatric units which treat mothers experiencing serious mental illness whilst allowing them to live alongside their babies.
Green Screen Animals,"Host Mo Rocca shows us: The movie magic behind animal actors. The device allowing us to see through walls. Tickling your taste buds with a Tortilla Toaster and, when the Water Wheels powered the world."
Jennifer Lopez: Dance Again,A documentary that chronicles Jennifer Lopez's life on and off-stage during her first ever world tour.
Zealandia: The Garden of Tane,Jeff travels to New Zealand's amazing eco-sanctuary known as Zealandia.
Far West Texas,"Bourdain travels to the untamed land of Big Bend, Texas near the Mexican border; an area that pits man against nature and nature usually wins. He finds a tough, inclusive and vibrant, struggling community threatened by the border policy."
Children in Crisis,Explore the damage of obesity on children in the U.S. in this documentary that follows the families of four kids as they seek help and try to make positive lifestyle changes.
They're Rich and We're Not,The team prepares for powerful Mission Viejo; Devin Jackson complains about playing time.
"Cuba, bras de fer nucléaire",The Cuban Missile Crisis was one of the defining moments of the mid-twentieth century and of the presidency of John Kennedy. How did the two Cold War powers of the USSR and the USA come to the point of threatening nuclear war?
Kill Chain: The Cyber War on America's Elections,"Finnish hacker and election expert Harri Hursti investigates election-related hacks, uncovering just how unprotected voting systems really are."
Los Angeles,"Bourdain examines the meeting point of Asian, Mexican, Latino culture in modern LA."
Manhunt: The Inside Story of the Hunt for Bin Laden,"Filled with testimony and recollections from actual C.I.A. agents, this in-depth account reveals the remarkable true story of the pursuit of the world's most notorious terrorist, Osama bin Laden."
The Letter,The unexpected and strange death of a health conscious woman prompts an investigation.
Morocco (Tangier),"What Burroughs called ""Interzone"", where artists like Burroughs, Bowles, Rimbaud, Verlaine, the Rolling Stones sought escape from Western moral prohibitions and the possibilities of great empty spaces."
An Apology to Elephants,"Narrated by Lily Tomlin, this documentary short traces mankind's long history with elephants and explores the many problems that arise when they are brought to live in captivity in zoos and circuses."
Hammond Learns About NASCAR Racing In Texas - Clarkson And May Examine China's Car Industry In Beijing,"Richard travels to Texas to learn about NASCAR racing, where he interviews several and rides with a NASCAR racing driver. Jeremy reviews the Mercedes-Benz SLS AMG Roadster. Jeremy and James travel to Beijing, China to look at their expanding copy-car-industry. The Star in Reasonably Priced Car is Matt LeBlanc."
Episode #23.5,"Chris Harris is with the new BMW M2, Rory Reid retraces a historic journey against the clock, delivering the Jaguar F-type SVR to the Geneva Motor Show, and Chris Evans and Matt Le Blanc head to Dingle."
In Between the Truth,Questions arise about the veracity of alleged accomplice Jay Wilds.
Tony's Impact,"This introspective episode combines interesting clips from previous episodes with behind-the-scenes footage of Tony and interviews with some of those he worked with, including the couple who had to flee Iran after helping him film there."
"Marseille, France",Bourdain and travel companion chef Eric Ripert (Le Bernardin) visit France's oldest city to experience its stew of cultures and cuisines and eat as much Corsican cheeses as they can handle.
Out and Proud Salt Lake,"Kamau visits Salt Lake City, Utah, to explore the growing LGBTQ+ community living in the epicenter of the Mormon religion."
"Rock, liberté et décibels","Elvis Presley paid $4 to record two songs for his mother and the rest, as they say, is history. But without Elvis, would rock and roll have gone the same route? And how have the many iterations of rock and roll developed and changed our taste and culture since the 1950's?"
One Survivor Remembers,"Holocaust survivor Gerda Weissmann Klein recounts her six-year ordeal as a victim of Nazi cruelty, including the loss of her parents, brother, friends, home, possessions, and community."
Larry Kramer in Love and Anger,The passion and anger of a modern warrior during the height of the AIDS epidemic.
Rosi,"[HBO] HD. As an American with a mother from Guatemala and a father from Cuba, Rosi combines all three cultures for a quinceanera in Havana."
Ancient Animals,"Jungle Jack counts down the mammals, reptiles and birds that have unbelievable changes."
Happiness,"NFL players seem to have it all; yet when they retire, many experience depression and financial trouble. Through the lens of a new science, this edition of ""State of Play"" follows NFL legend Brett Favre and two other extraordinary players as they search for happiness after leaving the sport they love."
Beluga Tales,"Host Jeff Corwin travels to the Saint Lawrence River in Quebec, Canada to unlock the secrets of Beluga whales. Jeff locates wild Belugas by helicopter and helps scientists identify individual whales for study. Jeff also explores the Beluga whales at Georgia Aquarium and works with the veterinary team who cares for them."
Champollion fait parler la pierre,"In July 1799, during the French Campaign in Egypt and Syria, the French soldiers of lieutenant Bouchard discover by chance at Rosetta a large black stone. It is, in fact, the fragment of a stele engraved in honor of King Ptolemy V, including three writing systems: Greek, Demotic and hierogly."
Los Angeles,An alternative tour of Los Angeles by Bourdain focuses on the impact and contributions of its less photographed and often overlooked Latino communities.
"Heroin: Cape Cod, USA","Documentary examining the impact heroin has had on Cape Cod in Massachusetts, following the stories of eight people who are all in their twenties as they battle with their addiction."
Sisters,"[HBO] HD. 'Sisters.' After opening up about her history, Barbara's sister Conway makes a stunning accusation."
The Gianni Versace Murder,"An investigation into the murder of fashion designer Gianni Versace, who was gunned down in broad daylight on the steps of his Miami Beach mansion by Andrew Cunanan in 1997."
Never-Ending Man: Hayao Miyazaki,A look at famous Japanese animator Hayao Miyazaki following his retirement in 2013.
Wrong Man,"CNN examined the case of Ruben Cantu, who was executed in Texas in 1993 despite serious doubts about his guilt."
Running with Beto,A behind-the-scenes documentary following Beto O'Rourke's breakaway campaign to unseat Ted Cruz in the U.S. Senate.
Trinidad,"A trip to the Caribbean uncovers how the island of Trinidad has turned a history of colonialism and slavery into a non-stop celebration of multicultural food, music and good times."
Aaron Hernandez: Secrets and Lies,"Aaron Hernandez is a star player for the New England Patriots, and at the young age of 23, is set up for greatness. But less than a year later, a body is found riddled with bullets, only a short distance from Hernandez's home. Forensic evidence and surveillance footage from the night of the murder, examined in detail in this program, soon tie Hernandez to the crime scene."
Fighting for Life,"Texas, 2002: Herbert Maldonado is charged with the murder of Lori Mejia and narrowly escapes from law enforcement; Missouri, 2002: Bruce Sawhill is charged with child sodomy and runs from the law."
High Performance Hatchbacks In Lucca And Around The Monaco Grand Prix Track,"James reviews the new Aston Martin Virage and bashes on the Nurburgring. The boys head out to Italy for a Hot Hatchback Roadtrip with Jeremy in the Citroen DS3 Racing, Hammond in the Fiat 500C Abarth and James May in the Renaultsport Clio 200 Cup. They perform a number of tasks including a scavenger hunt of sorts as well as laps around the Monaco Grand Prix track through Monte Carlo. Ross Noble is the star in a reasonably priced car."
Wartorn: 1861-2010,"With suicide rates among active military servicemen and veterans currently on the rise, the HBO special WARTORN 1861-2010 brings urgent attention to the invisible wounds of war. Drawing on personal stories of American soldiers whose lives and psyches were torn asunder by the horrors of battle and PTSD, the documentary chronicles the lingering effects of combat stress and post-traumatic stress on military personnel and their families throughout American history, from the Civil War through today's conflicts in Iraq and Afghanistan."
City of Dogs,Louis Theroux delves into the issues surrounding Los Angeles' stray dog population.
Which Way Home,"""Which Way Home"" is a feature documentary film that follows unaccompanied child migrants, on their journey through Mexico, as they try to reach the United States. We follow children like Olga and Freddy, nine-year old Hondurans, who are desperately trying to reach their parents in the US.; children like Jose, a ten-year old El Salvadoran, who has been abandoned by smugglers and ends up alone in a Mexican detention center; and Kevin, a canny, streetwise fourteen-year old Honduran, whose mother hopes that he will reach the U.S. and send money back to her. These are stories of hope and courage, disappointment and sorrow. They are the children you never hear about; the invisible ones."
As the River Flows,"The Loire is one of Europe's last free-flowing rivers, one of the few whose banks have not been developed and confined by man. As the seasons change, its water level rises and falls and the morphology of the river-bed alters. How do plants and animals adjust to these variations?"
"Africa Special, Part 2","In the second part of the Top Gear special, Jeremy Clarkson, Richard Hammond and James May continue their epic African odyssey. Having survived insane traffic, lethal mud slides and some distinctly dubious map reading, the trio and their ailing estate cars reach the climax of their quest to find the definitive source of the Nile."
The Fence,"In October 2006, the United States government decided to build a 700 mile fence along its Mexican border. Three years and 3.1 billion dollars later, award-winning director Rory Kennedy investigates the impact of the project, revealing how its stated goals--containing illegal immigration, cracking down on drug trafficking, and protecting America from terrorists--have given way to unforeseen consequences."
Leonard Cohen: I'm Your Man,"A documentary on the legendary singer-songwriter, with performances by those musicians he has influenced."
Into the Arms of Strangers: Stories of the Kindertransport,"The secret smuggling of 9,300 Jewish children out of Nazi Germany in the late 1930s."
"Ruée vers l'or, pour une poignée de pépites","Timing is everything, just look at what happened in 1848. How did the finding of gold in Sutter's Mill make an impact on the development of California and the history of the United States?"
"La Fronde, la valse du pouvoir","In the 17th century, a long period of civil war in France and war across Europe, rebellious members of the French Parliament, dubbed The Fronde, defy the monarchy and this defiance does not end well for them...and changes the history of France."
Kingdom of the Birds,"The point where the English Channel meets the North Sea is a huge migratory hub. Numerous bird species come to this section of the west coast of Europe to rest, feed and bring up their young. For them, the flat, windswept landscape is paradise."
Bud Greenspan's Torino 2006: Stories of Olympic Glory,Bud Greenspan looks back at the most interesting stories from the 2006 Olympic Winter Games.
America's First Muslims,"Contrary to what many might think, Islam is far from new to America. Lisa meets 3 very different African American Muslims and learns about the power of Islam to reshape lives in the black community, a community that can trace its connection to Islam back to the very first days of slavery."
"We're Not Finished, Yet",The Jackrabbits enjoy a three-game winning streak; Devin Jackson meets with a military recruiter; the team prepares for the final home game with Compton.
Energy of the Future,"To respond to global demand and population growth, energy production will have to increase by 75% by 2050. The fossil fuels that we currently use on a massive scale are becoming increasingly rare and are highly polluting, wreaking havoc on the climate."
Special: Joe Biden,Joe Biden is interviewed by Mike Allen in Iowa.
March of the Penguins,"In the Antarctic, every March since the beginning of time, the quest begins to find the perfect mate and start a family."
Sausages and Ice-Cream,"A look at Dairy Ice Cream, which has to contain dairy products, and others which can contain any fat from any source. It also looks at the difference between smoking food with actual smoke and other foods which are termed smoked flavored."
Nixon's the One,"Following political defeats in 1960 and 1962, Richard Nixon emerges at the height of the turbulent 1960s as the Republican Party's nominee for President in 1968."
The Path to Power,"John F. Kennedy launches a long-shot bid for power; the seemingly perfect candidate must confront the issues of his health, faith and fidelity if he is to have any chance of reaching the White House."
The Editors,"The New Yorker editors David Remnick and Deirdre Foley-Mendelssohn, attorney Fabio Bertoni and Fact Checkers Tammy Kim and Fergus McIntosh discuss the arduous process of verifying the details of the story, while fending off legal threats from Weinstein's camp."
Game of Thrones: The Last Watch,"Chronicling the creation of Game of Thrones (2011)'s final season, its most ambitious and complicated one."
London,"Visiting London, post Brexit vote, Bourdain finds comfort in classic British cuisine including roast bone marrow at chef Fergus Henderson's famed restaurant St. John, and Scotch eggs at Princess Victoria Pub with Nigella Lawson, plus a meeting with revered artist Ralph Steadman at his studio."
Class 1 Data,"Catherine believes her daughter is in danger and wants her to come home. But she and the former members are unable to get the attention of the authorities, so they approach the New York Times."
The Stage is Set,"A native son is named head football coach at legendary Pahokee High School, and a budding quarterback looks to make his father proud."
The 2000s to Today,"As the new century begins, beloved books and comic-book crusaders become box-office gold, musicals and cartoons win audiences and Oscars, coarse comedies and epic dramas showcase Hollywood's biggest stars, and a new generation of filmmakers from diverse backgrounds finds its voice."
"Autopsy: Sex, Lies and Murder",Dr. Michael Baden examines four intriguing crimes that were solved with the help of forensic science in this 11th 'Autopsy' film.
03,"[HBO] HD. The guys deal with unexpected audience reactions in North Carolina and Tennessee, as New Michael's drinking vexes the group."
Foster,"Oscar®-winning filmmakers Deborah Oppenheimer and Mark Jonathan Harris (Into the Arms of Strangers: Stories of the Kindertransport) reunite for a revealing first-hand look at the foster care system as seen through the eyes of those who know it best. With extraordinary access to the inner workings of the Los Angeles County Department of Children and Family Services (DCFS), Oppenheimer and Harris go beyond the sensational headlines and stereotypes to take an unprecedented look at an often misunderstood world and upend some of the most enduring myths about foster care and those involved in the system."
Apart,"A portrait of three resilient children navigating the complex emotional challenges of their parents' incarceration, as their families work to provide stability and support."
Borneo,Bourdain returns to Borneo after 10 years to enjoy chicken rendang and pork noodles in the ""street food paradise"" of Kuala Lumpur.
Faces That Sell,"The fashion world is a competitive one, with thousands of young, idealistic girls vying to become the next top model-but even if they're discovered, many soon find out that it's not always glitz and glamour."
Welcome to Chechnya,A group of activists risk their lives fighting for LGBTQ+ rights in Chechnya.
Ain't Scared of Your Jails: 1960-1961,"From PBS - Beginning in 1960, young people on Black college campuses took a more active role in the civil rights movement's leadership and determined their own methods of promoting change."
The Invisible War,An investigative documentary about the epidemic of rape of soldiers within the US military.
Drawn To Be Funny,"The history of humor in animated cartoons, their writers, directors, animators and voice actors."
"Deepwater Horizon, un océan de pétrole","Rented by the BP oil company to drill an oil well in the Gulf of Mexico, the Deepwater Horizon drilling rig explodes on April 20, 2010, before sinking into the ocean and causing a gigantic oil spill. At issue: negligence in the maintenance and in the tests carried out."
Predicting the Unpredictable,We look at how hurricanes are predicted and the science behind their formation.
Jet Surfboard,Host Mo Rocca shows us: The Surfboard that doesn't need a wave. The robotic football Tackle Dummy that prevents injuries. The Spider Catcher saving the 8-legged crawlers. And the Flying Schoolgirl who made aviation history.
Seals of Approval,"Host Jeff Corwin explores Aialik Glacier and visits the Alaska SeaLife Center where he meets an orphaned harbor seal named Ali. Jeff helps the ASLC staff nurse Ali back to health and prepare for Ali's release back to the wild. Along the way, Jeff learns about other seals at the facility, including one named Atty who is pregnant with her second pup."
Darwin à la découverte du monde,"Picture the last two hundred years without the publication of Darwin's ""On The Origin of Species"" // how might the scientific conversation have developed? What were the influences in Victorian England during Darwin's youth, and how tenuous was his opportunity for sailing on the Beagle's voyage?"
Episode #2.7,"[HBO] HD. Rep. Hakeem Jeffries (D-NY) on the house impeachment inquiry vote; plus, Reps. Will Hurd and Dan Crenshaw; PayPal CEO Daniel Schulman."
Mississippi Delta,"Tony seeks to challenge his notions of Mississippi by taking a road trip to meet a wide cast of Mississippians, enjoying the diverse foodways, and embracing the contemporary music world."
Glacier National Park: Rocky Mountain High,Jack and Colton prepare for a possible encounter with grizzly bears as they head high into the Rockies and across the continental divide on their first back-packing adventure in Glacier National Park.
"Chute de Québec, la France perd l'Amérique",The battle between the French and English for the French territory of New France hinges on the presence of the British navy. And the Battle on the Plains of Abraham is tipped to Great Britain by the solidly trained soldiers of the British army. This changed the landscape of North America.
It's Chinatown!,"While nodding to what we know and love about Chinese Americans, Kamau goes well beyond fortune cookies and kung fu to follow a complex and thriving culture whose roots lie deep in Chinatown."
"Research Problems, Reef Problems, Punitive Problems","Wyatt notes the historical exclusion of women in medical research, explores man-made reefs and examines the process of restorative justice."
Pet Wheelchairs,A surfboard that doesn't need waves; wheelchairs for animals; using drones to build rope bridges; museum quilts.
Unlocking the Cage,"Between 2013 and 2015, a group of nonprofit attorneys seek nonhuman clients for whom they can advocate in two U.S. territories, in order to establish legal personhood for elephants, cetaceans and nonhuman apes in the U.S."
THE NIGHT STALKER Part 2: I Will Be Avenged,A tip from a teenage boy leads to the identity of the Night Stalker and twenty-four hours later a mob of angry citizens track him down and capture him.
In Vanda's Room,"The film follows the daily life of Vanda Duarte, a heroin addict in Lisbon, and the community she lives in."
Episode One,"Mia Farrow recounts her storied relationship with Woody Allen, once a beloved father figure to her seven children. While their adopted daughter Dylan speaks to the escalating discomfort she felt under the intensity of Woody's attention, which was a growing concern for Mia."
Mavericks,"A few days after his historic ride, Garrett is visited by his mother, whose presence prompts an exploration into his highly unconventional and turbulent childhood. In 2013, a group of Brazilians arrive in Nazare, but their failure to heed Garrett's safety advice results in a near-fatal accident. In 2017, Garrett's appearance at a big wave competition takes a devasting turn."
The Great Beyond,"A serene and spiritual journey from Earth to the outer reaches of the universe. From the first outpost on our voyage, the International Space Station, to the strange worlds of our solar system and far beyond. Narrated by Idris Elba."
Blame & Responsibility,"Catherine travels to Buffalo to meet with Frank Parlato, creator of ""The Frank Report,"" to build a dossier of evidence. Toni Natalie, one of Keith's former girlfriends, share hers experiences and challenges she faced with Keith."
Extraordinary Rally Team Of Amputee Military Veterans - Electric Cars To The British Seaside,"Jeremy and James embark on a trip to the British seaside in two new electric cars, taking in an impromptu and thoroughly informative visit to Lincoln along the way. Meanwhile, Richard meets the world's most extraordinary rally team, and pop impresario Louis Walsh is this week's star in the Reasonably Priced Car. Plus, the new brand new Lamborghini Aventador flexes its muscles on the track."
The Seventies,"Directors become masters of the medium as Spielberg, Coppola, Scorsese, Lucas and other filmmakers create a New Hollywood that pushes the medium of moviemaking to its apex, just as a new generation of movie stars like Robert DeNiro, Jack Nicholson, and Pam Grier light up the screen."
The DC Snipers,"Crimes of the Century examines the 2002 case of John Allen Muhammad and Lee Boyd Malvo. The two snipers terrorize the residents of Washington, D.C. and its suburbs by randomly targeting and gunning down ordinary citizens in common public areas."
NorCal Rapist: Phantom Predator Part 2,"In Northern California, a masked predator meticulously plans his sexual assaults by studying the habits and routines of his female prey; after 27 years on the loose, police close in on the man they believe to be the NorCal Rapist."
The Eighties,"In the Eighties, stars like Tom Cruise, Meryl Streep and Eddie Murphy explode on the screen. Aliens, time travelers, ghosts and road warriors share the cineplex with troubled teens, battered boxers, classical composers and career girls."
"Gueules noires, combustibles de la révolution industrielle","University of Glasgow, England, 1763. A young engineer tries, in vain, to fix a steam engine before finally understanding what is wrong with it. James Watt still doesn't know it but he will soon revolutionize the world of industry."
David Cassidy: Fatal Secret,"Actor-musician David Cassidy (""The Partridge Family"") experiences the pressures of fame as a teen idol in the 1970s. In the end, his death is surrounded by mystery, leaving his family, friends and fans with more questions than answers."
Hoop Dreams,A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.
A Girl in the River: The Price of Forgiveness,A woman in Pakistan sentenced to death for falling in love becomes a rare survivor of the country's harsh judicial system.
SOS New Hampshire,"Addicts are found over-dosing on the streets every day in New Hampshire, which President Trump recently called a drug-infested den. Chris Cuomo visits the opioid epidemic to see what's being done to turn this deadly tide."
Foraging for Food,"With an amazing bounty of edible flora and fauna in Alaska, eco tourism and adventure facilitators make use of the year round opportunities, to catch gigantic freshwater and saltwater fish, wild animals and find bush delicacies."
Homegrown: The Counter-Terror Dilemma,"HOMEGROWN: THE COUNTER-TERROR DILEMMA explores the real and perceived threat of homegrown Islamic extremism in America today through first-hand accounts from those on the front lines of this battle - family members of convicted terrorists, those trying to persuade young people from embracing extremism, Muslim Americans facing fear and suspicion in their communities, victims of terrorist attacks, and insights from experts and prosecutors who worked homegrown terrorist cases. Among the questions the film raises: Why are American citizens signing up for ISIS? How big is the threat, and how effective have the efforts of US counter-terrorism agencies been in combatting homegrown terrorism? What are the unintended consequences of such efforts? And, what freedoms and values do we sacrifice in our efforts to track down established and nascent extremists in our midst?"
Living on Land & Sea,"Jungle Jack counts down animals that inhabit one kind of habitat, but some of them cannot make up their minds about the location of their abodes."
First,"The Official Film of the XXXth Olympic Games to be held in London, following the stories of twelve first-time Olympians from around the world."
Amsterdam: The Future of Freedom,"Bill Weir travels to Amsterdam, famed as one of the world's most liberal cities, to find out if this bastion of tolerance can stay that way amid a rising tide of intolerance."
Spellbound,Spellbound follows eight teenagers on their quest to win the 1999 National Spelling Bee.
Mr. Conservative: Goldwater on Goldwater,[HBO] HD. The life and career of Barry Goldwater from his start as a hugely influential Arizona Senator to his tumultuous run for president in 1964.
Choosing Death,There are now 6 U.S. states that offer the terminally ill the option of ending their lives with a prescribed cocktail of drugs. In California Louis meets some of those planning to end their life and some who don't meet the criteria.
Harlan County U.S.A.,A heartbreaking record of the thirteen-month struggle between a community fighting to survive and a corporation dedicated to the bottom line.
What You Gonna Do When the World's on Fire?,"What You Gonna Do When The World's On Fire is the story of a community of black people in the American South during the summer 2017, when a string of brutal killings of black men sent shockwaves throughout the country. A meditation on the state of race in America, this film is an intimate portrait into the lives of those who struggle for justice, dignity, and survival."
Indian Point: Imagining the Unimaginable,"A documentary about the Indian Point power plant and its virtual lack of security following the tragic events of September 11, 2001."
06,"[HBO] HD. Season finale. Noah, Ethan, Jack and New Michael prepare for the end of their tour and a final show in L.A."
My True Brilliant Friend,"A unique portrayal of two young amateur actresses embarking on a journey that will forever change their lives as they star in the most eagerly anticipated new show of 2018-Elena Ferrante's My Brilliant Friend. Naples 2017. The news spread fast. Ferrante's saga, a worldwide phenomenon selling over 13 million novels, is about to become a major TV series for HBO and RAI. Thousands of young girls audition for the parts of the main characters Elena and Lila...but only two succeed. The lives of Margherita Mazzucco and Gaia Girace, cast as Elena and Lila, are about to change in an unimaginable way. An event within the event, this remarkable documentary captures the adventure these two non-actors will go on-from the open casting call of 2,500 hopefuls, through to the show's Venice Film Festival premiere. This is an exclusive look into them experiencing a true Cinderella story, where two unknown, ordinary teenagers embark on roles of a lifetime. The documentary is an intimate portrayal of this unique story, starting with the girls as complete strangers through to their journey of becoming close friends. It documents the transformation of two 15-year-old actresses, their friend-ship, the highs, the lows, the challenges, the rewards, the ordinary and the extraordinary. It is a genuine coming-of-age story as they learn their craft and become embedded in a world they only ever dreamed of. It not only explores the rapport between the two actresses, but also draws parallels to Elena and Lila's relationship and how at times the lines between reality and fiction, person and character, can blur."
