VALUE,PLOT
Adventure,"Matt LeBlanc and Chris Harris embark on an all-season US road trip in the latest convertible supercars from Lamborghini and Porsche, journeying from broiling desert to snowy mountain. Back at the test track, Rory Reid sets the toughest of driving challenges for Chris and the Alfa Romeo Giulia, while actor David Tennant takes a spin in the new Reasonably Fast Car."
Comedy,"Matt LeBlanc and Chris Harris embark on an all-season US road trip in the latest convertible supercars from Lamborghini and Porsche, journeying from broiling desert to snowy mountain. Back at the test track, Rory Reid sets the toughest of driving challenges for Chris and the Alfa Romeo Giulia, while actor David Tennant takes a spin in the new Reasonably Fast Car."
Reality-TV,"Matt LeBlanc and Chris Harris embark on an all-season US road trip in the latest convertible supercars from Lamborghini and Porsche, journeying from broiling desert to snowy mountain. Back at the test track, Rory Reid sets the toughest of driving challenges for Chris and the Alfa Romeo Giulia, while actor David Tennant takes a spin in the new Reasonably Fast Car."
Talk-Show,"Matt LeBlanc and Chris Harris embark on an all-season US road trip in the latest convertible supercars from Lamborghini and Porsche, journeying from broiling desert to snowy mountain. Back at the test track, Rory Reid sets the toughest of driving challenges for Chris and the Alfa Romeo Giulia, while actor David Tennant takes a spin in the new Reasonably Fast Car."
Sport,A documentary that charts the rise and fall of prominent New York sports radio personality Craig Carton.
Biography,"A film about the life and work of the cosmologist, Stephen Hawking, who despite his near total paralysis, was one of the great minds of all time."
Short,"Kamau visits Salt Lake City, Utah, to explore the growing LGBTQ+ community living in the epicenter of the Mormon religion."
History,"Kamau visits Salt Lake City, Utah, to explore the growing LGBTQ+ community living in the epicenter of the Mormon religion."
Reality-TV,"Kamau visits Salt Lake City, Utah, to explore the growing LGBTQ+ community living in the epicenter of the Mormon religion."
Sport,"Kamau visits Salt Lake City, Utah, to explore the growing LGBTQ+ community living in the epicenter of the Mormon religion."
Short,W. Kamau Bell visits the historically black colleges and universities to see if there is still a need for them.
History,W. Kamau Bell visits the historically black colleges and universities to see if there is still a need for them.
Reality-TV,W. Kamau Bell visits the historically black colleges and universities to see if there is still a need for them.
Sport,W. Kamau Bell visits the historically black colleges and universities to see if there is still a need for them.
News,1. Georgia on our minds / an interview with Stacey Abrams 2. Larry Kudlow National Economic Council Director 3. Turbulent times / a conversation with the CEO of Delta Air Lines 4. Deconstructing defunding / reimagining public safety
Talk-Show,1. Georgia on our minds / an interview with Stacey Abrams 2. Larry Kudlow National Economic Council Director 3. Turbulent times / a conversation with the CEO of Delta Air Lines 4. Deconstructing defunding / reimagining public safety
Short,The life of actor and activist Paul Robeson.
Biography,The life of actor and activist Paul Robeson.
News,"1. Elon Musk interview about potential cyborgs. 2. Evangelicals in the age of Trump. 3. Cliff Sims, a Trump White House insider. 4. Bill Gates on Climate Change. 5. Musk on Mars."
Talk-Show,"1. Elon Musk interview about potential cyborgs. 2. Evangelicals in the age of Trump. 3. Cliff Sims, a Trump White House insider. 4. Bill Gates on Climate Change. 5. Musk on Mars."
Reality-TV,Coach Lara tries to motivate his players for the game with Lakewood; Jeremiah Hollowell gets a warning about his grades; the team shows its support for breast cancer awareness by wearing pink.
Comedy,"[HBO] HD. 'Space problems, Sh*t problems, Minnesota problems.' (Season One) Wyatt explores space, alternative fuel and Minnesota policing."
Adventure,"Matt LeBlanc and Chris Harris attempt to speed up British roads - and farming. Matt also tests out the blistering Ferrari 812 Superfast, while Rory Reid heads to America to tackle a muscle car banned in Europe. Vicky McClure is the studio guest."
Comedy,"Matt LeBlanc and Chris Harris attempt to speed up British roads - and farming. Matt also tests out the blistering Ferrari 812 Superfast, while Rory Reid heads to America to tackle a muscle car banned in Europe. Vicky McClure is the studio guest."
Reality-TV,"Matt LeBlanc and Chris Harris attempt to speed up British roads - and farming. Matt also tests out the blistering Ferrari 812 Superfast, while Rory Reid heads to America to tackle a muscle car banned in Europe. Vicky McClure is the studio guest."
Talk-Show,"Matt LeBlanc and Chris Harris attempt to speed up British roads - and farming. Matt also tests out the blistering Ferrari 812 Superfast, while Rory Reid heads to America to tackle a muscle car banned in Europe. Vicky McClure is the studio guest."
Sport,"Documentary on the 1948 Summer Olympics, officially known as the Games of the XIV Olympiad. They were an international multi-sport event which was held in London, England, United Kingdom."
Sport,A documentary covering the 1996 Olympic Games in Atlanta.
Short,"Host Jeff Corwin relives some of his favorite moments from New Zealand including the endangered Yellow-eyed Penguins of Otago, the adorable Fur Seal pups of Kaikoura, the mysterious Long-tailed Bats of Te Anau, and the breath-taking beauty of the New Zealand islands."
Adventure,"Host Jeff Corwin relives some of his favorite moments from New Zealand including the endangered Yellow-eyed Penguins of Otago, the adorable Fur Seal pups of Kaikoura, the mysterious Long-tailed Bats of Te Anau, and the breath-taking beauty of the New Zealand islands."
Family,"Host Jeff Corwin relives some of his favorite moments from New Zealand including the endangered Yellow-eyed Penguins of Otago, the adorable Fur Seal pups of Kaikoura, the mysterious Long-tailed Bats of Te Anau, and the breath-taking beauty of the New Zealand islands."
Biography,"An exploration of the history of the Bee Gees, featuring revealing interviews with oldest brother Barry Gibb, and archival interviews with the late twin brothers Robin and Maurice."
Music,"An exploration of the history of the Bee Gees, featuring revealing interviews with oldest brother Barry Gibb, and archival interviews with the late twin brothers Robin and Maurice."
Adventure,"Jeremy Clarkson, Richard Hammond and James May goes on a road-trip through Ukraine to show that small city cars are indeed fun to drive, Jaremy test a Danish supercar and musician James Blunt is the star in the Reasonably Priced Car."
Comedy,"Jeremy Clarkson, Richard Hammond and James May goes on a road-trip through Ukraine to show that small city cars are indeed fun to drive, Jaremy test a Danish supercar and musician James Blunt is the star in the Reasonably Priced Car."
Reality-TV,"Jeremy Clarkson, Richard Hammond and James May goes on a road-trip through Ukraine to show that small city cars are indeed fun to drive, Jaremy test a Danish supercar and musician James Blunt is the star in the Reasonably Priced Car."
Talk-Show,"Jeremy Clarkson, Richard Hammond and James May goes on a road-trip through Ukraine to show that small city cars are indeed fun to drive, Jaremy test a Danish supercar and musician James Blunt is the star in the Reasonably Priced Car."
Comedy,[HBO] HD. Series premiere. The comedy troupe Asperger's Are Us kicks off a six-week cross-country tour.
Sport,"Auto racing is an obsession in Anderson, Indiana. Even with local auto factories closing down and jobs being lost, the town's residents continue to flock to the local speedway every Friday night--and its drivers continue to pour their dwindling resources into their Thundercars. Emmy(R)-winning filmmaker Jon Alpert presents this look at this passion for racing in rust-belt America. Since the closing of a GM plant and the loss of 33,000 jobs, the once-thriving town of Anderson now stands witness to empty factories, shuttered stores and abandoned home--but also to packed houses at Anderson Speedway where people put their troubles on hold to watch the cacophony of screeching tires and crashing metal as drivers vie for Thundercar supremacy."
Crime,"An investigation into the truth behind the murder of Guatemalan Bishop, Juan Gerardi, who was killed in 1998 just days after trying to hold the country's military accountable for the atrocities committed during its civil war."
News,1. Bannon's canon / the prophet of populism 2. America <3 socialism? / a poll 3. Algorithms of hate / a conversation with Google's CEO 4. The price of poverty / reforming cash bail 5. A Florida man.
Talk-Show,1. Bannon's canon / the prophet of populism 2. America <3 socialism? / a poll 3. Algorithms of hate / a conversation with Google's CEO 4. The price of poverty / reforming cash bail 5. A Florida man.
Biography,[HBO] HD. The life and career of Barry Goldwater from his start as a hugely influential Arizona Senator to his tumultuous run for president in 1964.
News,[HBO] HD. An exclusive interview about the impending ""red mirage"" on election night; Eli Lilly Chairman and CEO David Ricks; DoorDash CEO Tony Xu.
Talk-Show,[HBO] HD. An exclusive interview about the impending ""red mirage"" on election night; Eli Lilly Chairman and CEO David Ricks; DoorDash CEO Tony Xu.
Short,A documentary covering the Olympic Games at Chamonix in 1924.
Sport,A documentary covering the Olympic Games at Chamonix in 1924.
Adventure,"Jack and Colton experience the awesome power of Mother Nature in Alaska as they kayak with whales and sea otters through Glacier Bay National Park, witness glaciers crashing into the sea and trek to get up close to a mammoth Glacier."
Family,"Jack and Colton experience the awesome power of Mother Nature in Alaska as they kayak with whales and sea otters through Glacier Bay National Park, witness glaciers crashing into the sea and trek to get up close to a mammoth Glacier."
Reality-TV,"Jack and Colton experience the awesome power of Mother Nature in Alaska as they kayak with whales and sea otters through Glacier Bay National Park, witness glaciers crashing into the sea and trek to get up close to a mammoth Glacier."
Adventure,Jack and Colton head to Death Valley National Park in search of one of the most scarce resources in the park... water.
Family,Jack and Colton head to Death Valley National Park in search of one of the most scarce resources in the park... water.
Reality-TV,Jack and Colton head to Death Valley National Park in search of one of the most scarce resources in the park... water.
Adventure,"Anthony Bourdain journeys to the progressive South American nation of Uruguay, accompanied by NYC chef Ignacio Mattos, a native Uruguayan, where they enjoy a wide selection of meats in a country where cattle outnumber people almost 4 to 1."
Adventure,"The guys creep and crawl for miles through the underground of Mammoth Cave National Park in Kentucky, and help researchers capture wild bats to track a deadly disease."
Family,"The guys creep and crawl for miles through the underground of Mammoth Cave National Park in Kentucky, and help researchers capture wild bats to track a deadly disease."
Reality-TV,"The guys creep and crawl for miles through the underground of Mammoth Cave National Park in Kentucky, and help researchers capture wild bats to track a deadly disease."
Adventure,"The guys face off with Mother Nature in Michigan's Pictured Rocks National Lakeshore, spending a cold winter in a snow trench before taking on a 70-foot wall of ice for a climb like none they've done before."
Family,"The guys face off with Mother Nature in Michigan's Pictured Rocks National Lakeshore, spending a cold winter in a snow trench before taking on a 70-foot wall of ice for a climb like none they've done before."
Reality-TV,"The guys face off with Mother Nature in Michigan's Pictured Rocks National Lakeshore, spending a cold winter in a snow trench before taking on a 70-foot wall of ice for a climb like none they've done before."
Biography,"Jackie Kennedy's time in the White House was short - thirty-five tumultuous months that promised a new dawn for America but were marked by private betrayal and public tragedy. Using rarely seen personal letters, photographs and intimate audio recordings, the episode reveals how Jackie took control of JFK's legacy in the days following his assassination."
Crime,Durst reveals details about his childhood including witnessing his mother's suicide.
Mystery,Durst reveals details about his childhood including witnessing his mother's suicide.
Animation,"Picture the last two hundred years without the publication of Darwin's ""On The Origin of Species"" // how might the scientific conversation have developed? What were the influences in Victorian England during Darwin's youth, and how tenuous was his opportunity for sailing on the Beagle's voyage?"
Family,"Picture the last two hundred years without the publication of Darwin's ""On The Origin of Species"" // how might the scientific conversation have developed? What were the influences in Victorian England during Darwin's youth, and how tenuous was his opportunity for sailing on the Beagle's voyage?"
History,"Picture the last two hundred years without the publication of Darwin's ""On The Origin of Species"" // how might the scientific conversation have developed? What were the influences in Victorian England during Darwin's youth, and how tenuous was his opportunity for sailing on the Beagle's voyage?"
Crime,"After the brutal slaying of a young couple on a road trip, the victims' families begin receiving disturbing letters."
Adventure,"Bourdain takes a journey to the Bay Area to practice Brazilian Jiu Jitsu, heal through food, and enjoy some soul food at Real Miss Ollie's."
Comedy,Exploring the history of sketch and improv comedy and how it evolved into a significant part of comedic talent today.
History,Exploring the history of sketch and improv comedy and how it evolved into a significant part of comedic talent today.
Crime,"The case of Kris Majaraj, convicted of the murders of Derrick Moo Young and Duane Moo Young in 1987, is examined. He was a millionaire businessman who moved from England to Florida."
News,[HBO] HD. An exclusive interview with Ukrainian President Volodymyr Zelensky; a conversation with Washington Football Team President Jason Wright.
Talk-Show,[HBO] HD. An exclusive interview with Ukrainian President Volodymyr Zelensky; a conversation with Washington Football Team President Jason Wright.
Crime,"On June 5th, 2002, Elizabeth Smart is kidnapped from her Salt Lake City home, snatched from her bed at knifepoint by a mysterious man in the middle of the night. To the public it seemed as if she had vanished into thin air, but she was actually taken by Brian David Mitchell, a 48-year-old pedophile. A look at the unbelievable nine month saga with its unforeseeable twists and turns, a police investigation that went sideways, and a family fighting to keep hope alive."
Mystery,"On June 5th, 2002, Elizabeth Smart is kidnapped from her Salt Lake City home, snatched from her bed at knifepoint by a mysterious man in the middle of the night. To the public it seemed as if she had vanished into thin air, but she was actually taken by Brian David Mitchell, a 48-year-old pedophile. A look at the unbelievable nine month saga with its unforeseeable twists and turns, a police investigation that went sideways, and a family fighting to keep hope alive."
Adventure,"Matt LeBlanc drives an eight-wheeled rescue vehicle from Ukraine, Rory Reid turns the world's ugliest car into a luxury yacht and Chris Harris reviews the new Porsche Cayman. Jamiroquai frontman Jay Kay is the studio guest."
Comedy,"Matt LeBlanc drives an eight-wheeled rescue vehicle from Ukraine, Rory Reid turns the world's ugliest car into a luxury yacht and Chris Harris reviews the new Porsche Cayman. Jamiroquai frontman Jay Kay is the studio guest."
Reality-TV,"Matt LeBlanc drives an eight-wheeled rescue vehicle from Ukraine, Rory Reid turns the world's ugliest car into a luxury yacht and Chris Harris reviews the new Porsche Cayman. Jamiroquai frontman Jay Kay is the studio guest."
Talk-Show,"Matt LeBlanc drives an eight-wheeled rescue vehicle from Ukraine, Rory Reid turns the world's ugliest car into a luxury yacht and Chris Harris reviews the new Porsche Cayman. Jamiroquai frontman Jay Kay is the studio guest."
Short,"Kamau visits the Gullah (also known as Geechee), an African American community spread around the coast of South Carolina (and Georgia) that has its own traditions, language and culture similar to that of the creole-speaking communities."
History,"Kamau visits the Gullah (also known as Geechee), an African American community spread around the coast of South Carolina (and Georgia) that has its own traditions, language and culture similar to that of the creole-speaking communities."
Reality-TV,"Kamau visits the Gullah (also known as Geechee), an African American community spread around the coast of South Carolina (and Georgia) that has its own traditions, language and culture similar to that of the creole-speaking communities."
Sport,"Kamau visits the Gullah (also known as Geechee), an African American community spread around the coast of South Carolina (and Georgia) that has its own traditions, language and culture similar to that of the creole-speaking communities."
Short,"This portrait of Hilary Knight, the artist behind the iconic Eloise books, sees him reflecting on his life as an illustrator and his relationship to his most successful work."
Family,"Host Mo Rocca shows us: The future of fastest ground travel. The smartphone game that will aid your abs. The camera checking for sun damage. And, the boys who helped bring you barbecue."
Family,Jungle Jack counts down the world's cutest and cuddliest creatures.
Reality-TV,Jungle Jack counts down the world's cutest and cuddliest creatures.
Music,"When three hundred thousand members of the Love Generation collided with a few dozen Hells Angels at San Francisco's Altamont Speedway, the bloody slash that transformed a decade's dreams into disillusionment was immortalized on this film."
Thriller,"When three hundred thousand members of the Love Generation collided with a few dozen Hells Angels at San Francisco's Altamont Speedway, the bloody slash that transformed a decade's dreams into disillusionment was immortalized on this film."
Family,The second installment in the ""That's Entertainment"" trilogy features more classic scenes from MGM's vast musical library with the addition of comedy and drama films.
Musical,The second installment in the ""That's Entertainment"" trilogy features more classic scenes from MGM's vast musical library with the addition of comedy and drama films.
Short,"Lizbeth Mateo is an attorney who swore to uphold the Constitution. She's also undocumented. When a client takes sanctuary in a church, Lizbeth's own experience guides their fight for justice."
Short,"Ben Steele's Orphans of Ebola follows Abu, a 12-year-old boy from a Sierra Leone village, who loses eight members of his family and must restart his life elsewhere. Filmed over a period of four months, beginning just after the height of the epidemic in December 2014 through the reopening of the country's schools in April 2015, Abu's story illustrates the incredible bravery of the thousands of children who have been orphaned by Ebola as they reconcile with the past and forge new lives."
Comedy,"Wyatt Cenac talks banking deserts, combating mosquitos, and examines the intersection of America's mental health crisis and policing."
Sport,Bud Greenspan looks back at the most interesting stories from the 2006 Olympic Winter Games.
Crime,"Timothy ""Tracey"" Humphrey, and his wife Ashley Laney Humphrey, were arrested and then convicted of the July 05th, 2003, murder of bartender Sandra Lee ""Sandee"" Rozzo to avoid a criminal conviction for a trial that was set to start."
Family,Various MGM stars from yesterday present their favourite musical moments from the studio's 50 year history.
Musical,Various MGM stars from yesterday present their favourite musical moments from the studio's 50 year history.
Reality-TV,"Stanley Tucci heads to Rome in search of the famous Four Pastas. Stanley orders rigatoni all'amatriciana, samples carbonara and tries a selection of cheeses and sausages made from the sheep and pigs farmed in the region."
History,"A raging recession and rising inflation doom Gerald Fords presidency, but Jimmy Carter's following administration suffers through the same economic strife as well as a crippling energy crisis and the Iranian hostage crisis."
Adventure,"In Budapest, Anthony tries chicken liver, fisherman's soup, blood sausage and goulash. He visits a long-standing butcher's shop and stops for a drink at the Café New York."
Crime,"With the city's reputation on the line, and the murder count rising, law enforcement faces immense pressure to make an arrest. On May 22, 1981, an FBI stakeout of the city's bridges leads investigators to 23-year-old Wayne Williams, who becomes the main suspect in the killings and is promptly arrested in connection to the murders of two men in their 20s."
Crime,Investigators search for clues after a body is discovered in a watery grave.
Adventure,"Since Alaska has minimal road and rail systems, other means of transport must take centre stage. Chief amongst these, are small planes and helicopters. Alaska has six times as many pilots and 16 times as many aircraft per capita than the rest of the United States."
Crime,A family man rapes his 12-year-old stepdaughter for five years before she comes forward with the truth -- then he goes on the run.
Crime,"The body of a murdered woman is found in a barrel along with an address book that has been soaked for over 30 years. Spectral imaging is used to recover the information from the address book, which gives the police the break they need."
History,"The secret smuggling of 9,300 Jewish children out of Nazi Germany in the late 1930s."
War,"The secret smuggling of 9,300 Jewish children out of Nazi Germany in the late 1930s."
Comedy,"[HBO] HD. With a week of the tour left, the guys fight to make it on time to a Seattle show, where Noah's dad is in attendance."
Comedy,"Coochie Snorcher. Powder box. Toadie. Fannyboo. Mushmellow. Call it what you like, the vagina is many things to many women. Acclaimed writer/performer Eve Ensler is the star of this innovative special that features some of the candid, funny, painful, yearning insights of women talking about their no-longer-so-private part. Based on Ensler's award-winning stage show of the same name, the special includes all-new interviews and behind-the-scenes commentary added to the original performance material. The end result is a daring and refreshingly liberating experience filled with compassion, humor, intelligence and honesty that will leave you thinking inside the box!"
Drama,"Coochie Snorcher. Powder box. Toadie. Fannyboo. Mushmellow. Call it what you like, the vagina is many things to many women. Acclaimed writer/performer Eve Ensler is the star of this innovative special that features some of the candid, funny, painful, yearning insights of women talking about their no-longer-so-private part. Based on Ensler's award-winning stage show of the same name, the special includes all-new interviews and behind-the-scenes commentary added to the original performance material. The end result is a daring and refreshingly liberating experience filled with compassion, humor, intelligence and honesty that will leave you thinking inside the box!"
Animation,"While the Viking raids have come one after another in the Occident for almost a century, in November 885, hundreds of Scandinavian boats sailing towards Burgundy present themselves before the walls of Paris and besiege the city."
Family,"While the Viking raids have come one after another in the Occident for almost a century, in November 885, hundreds of Scandinavian boats sailing towards Burgundy present themselves before the walls of Paris and besiege the city."
History,"While the Viking raids have come one after another in the Occident for almost a century, in November 885, hundreds of Scandinavian boats sailing towards Burgundy present themselves before the walls of Paris and besiege the city."
Short,Follows the struggle of 138 mostly immigrant workers who strike to save their jobs at a famous bakery in the Bronx when a private equity firm buys the bakery and demands wage cuts of up to 30%.
Short,"Host Jeff Corwin travels to the Saint Lawrence River in Quebec, Canada to unlock the secrets of Beluga whales. Jeff locates wild Belugas by helicopter and helps scientists identify individual whales for study. Jeff also explores the Beluga whales at Georgia Aquarium and works with the veterinary team who cares for them."
Adventure,"Host Jeff Corwin travels to the Saint Lawrence River in Quebec, Canada to unlock the secrets of Beluga whales. Jeff locates wild Belugas by helicopter and helps scientists identify individual whales for study. Jeff also explores the Beluga whales at Georgia Aquarium and works with the veterinary team who cares for them."
Family,"Host Jeff Corwin travels to the Saint Lawrence River in Quebec, Canada to unlock the secrets of Beluga whales. Jeff locates wild Belugas by helicopter and helps scientists identify individual whales for study. Jeff also explores the Beluga whales at Georgia Aquarium and works with the veterinary team who cares for them."
History,A documentary on some of contemporary Mexico's most iconic artists and performers.
Music,A documentary on some of contemporary Mexico's most iconic artists and performers.
Musical,A documentary on some of contemporary Mexico's most iconic artists and performers.
Sport,"In 2017, prominent surfers flock to Nazare for its largest swell to date  and while one pro sets a new world record, Andrew Cotton suffers a devastating wipeout. In 2019, after rallying through a back-to-back concussion and broken foot, Garrett struggles with determining whether he's mentally ready to get back in the water."
History,The election and presidency of Bill Clinton.
Animation,"The former Soviet Union collectivized many aspects of agricultural and industrial development in the 1950's. While some efforts were successful, others, like the cotton-growing around the Aral Sea, have proven to be an ecological nightmare."
Family,"The former Soviet Union collectivized many aspects of agricultural and industrial development in the 1950's. While some efforts were successful, others, like the cotton-growing around the Aral Sea, have proven to be an ecological nightmare."
History,"The former Soviet Union collectivized many aspects of agricultural and industrial development in the 1950's. While some efforts were successful, others, like the cotton-growing around the Aral Sea, have proven to be an ecological nightmare."
Crime,A horrific triple child murder leads to an indictment and trial of three nonconformist boys based on questionable evidence.
Drama,"Branded an adulterer and a draft dodger, Bill Clinton finds himself at the bottom of the polls until he and his team devise one the of most effective campaigns in the history of US Presidential campaigns."
History,"Branded an adulterer and a draft dodger, Bill Clinton finds himself at the bottom of the polls until he and his team devise one the of most effective campaigns in the history of US Presidential campaigns."
Adventure,"Bourdain absorbs the tastes, sights and sounds of music city, from chef Josh Habiger's Catbird Seat and Bolton's famous hot chicken, to a night of cooking, drinking and rocking out with singer Alison Mosshart, and her bandmates."
Adventure,"The ingenuity of the Nigerian people is the focus of Bourdain's travels as he explores its food, music and rich cultural diversity."
History,"Major terrorist acts that occurred in the 1990s are covered, including the 1993 bombing of the World Trade Center, the Olympic Bombing in Centennial Park, the multiple bombings by the Unabomber Ted Kaczynski, the Columbine High School shootings, the terrorist acts by Osama Bin Laden, and the Oklahoma City Bombing."
Adventure,"This episode explores the food and natural beauty of Copenhagen, the economic and cultural center of Denmark."
Crime,"Florida, 2013: Convicted drunk driver Christopher Ponce removes his tracking device and vanishes. Montana, 2012: David Burgert, a troubled ex-Marine turned survivalist, fires on police and vanishes into the woods without a trace."
Crime,"Charles Stuart calls 911 on his car phone reporting that he and his pregnant wife were just carjacked. As the police and paramedics rush to find them, Stuart tells the 911 operator they were robbed and shot. But all is not what it seems."
Adventure,"Alaska appeals to different types of people. Wether one seeks nature, solitude, adventure or extremes, there is wildlife, untouched habitat, and eleven distinct mountain ranges. Alaska has something for outdoorsmen and thrill seekers."
Adventure,"Jeremy Clarkson and James May race a car against a high-performance yacht in a battle up the coastline of New Zealand. Meanwhile, Richard Hammond attempts to find a hero from a trio of newcomers, the Renaultsport Clio 200, Peugeot 208 GTI and Ford Fiesta ST, and top stars including Warwick Davis, Charles Dance and Joss Stone assemble at the track to welcome a brand new Reasonably Priced Car."
Comedy,"Jeremy Clarkson and James May race a car against a high-performance yacht in a battle up the coastline of New Zealand. Meanwhile, Richard Hammond attempts to find a hero from a trio of newcomers, the Renaultsport Clio 200, Peugeot 208 GTI and Ford Fiesta ST, and top stars including Warwick Davis, Charles Dance and Joss Stone assemble at the track to welcome a brand new Reasonably Priced Car."
Reality-TV,"Jeremy Clarkson and James May race a car against a high-performance yacht in a battle up the coastline of New Zealand. Meanwhile, Richard Hammond attempts to find a hero from a trio of newcomers, the Renaultsport Clio 200, Peugeot 208 GTI and Ford Fiesta ST, and top stars including Warwick Davis, Charles Dance and Joss Stone assemble at the track to welcome a brand new Reasonably Priced Car."
Talk-Show,"Jeremy Clarkson and James May race a car against a high-performance yacht in a battle up the coastline of New Zealand. Meanwhile, Richard Hammond attempts to find a hero from a trio of newcomers, the Renaultsport Clio 200, Peugeot 208 GTI and Ford Fiesta ST, and top stars including Warwick Davis, Charles Dance and Joss Stone assemble at the track to welcome a brand new Reasonably Priced Car."
Crime,A small beach-town community is frightened when a young and beautiful waitress is found stabbed more than 100 times in her apartment.
Crime,"Amid the ever-complicated and dangerous region that is Libya in the post-Gaddafi era, photographer Michael Christopher Brown snaps shots of a country slipping further into chaos."
Short,"The birth of our Solar System was both violent and chaotic. A newborn Jupiter menaced the inner solar system, tossing some planets into the Sun, others thrown into interstellar space, never to return. What stopped Jupiter from causing such mayhem?"
Family,"Jungle Jack sees how the carnivores hunt down prey, scavenge for scraps, and frighten a meal whatever is possible for them."
Reality-TV,"Jungle Jack sees how the carnivores hunt down prey, scavenge for scraps, and frighten a meal whatever is possible for them."
Sport,"The definitive photographic record of the 1984 Los Angeles Olympics, told ""from the inside"" through the lives of the participants, the words of David Perry, and the singing voice of Placido Domingo. From the opening to closing ceremonies, this unique style of storytelling shows a side of the Olympic Games not seen by television audiences."
News,"[HBO] HD. In this edition: interview with Melinda Gates; documentary on Trump campaign flags, boats and bikinis; a conversation with Matthew Desmond."
Talk-Show,"[HBO] HD. In this edition: interview with Melinda Gates; documentary on Trump campaign flags, boats and bikinis; a conversation with Matthew Desmond."
Adventure,"Anthony experiences an authentic Cuban breakfast thanks to Chef Michelle Bernstein. He visits Doral, known as Little Venezuela, to get a late night dinner from a gas station cafe."
Crime,Witness follows photojournalist Eros Hoagland as he goes to Ciudad Juárez one of the most dangerous places in Mexico and the world. Hoagland documents the city where drug violence has left thousands of people dead and observes how there is little sign that it will ever come to an end.
News,1. Tim Cook and augmented reality. 2. Poll on regulating the tech industry. 3. Sports betting law changes. 4. Social media consumption. 5. People living longer in the future with developments. Apple Healthcare Lab.
Talk-Show,1. Tim Cook and augmented reality. 2. Poll on regulating the tech industry. 3. Sports betting law changes. 4. Social media consumption. 5. People living longer in the future with developments. Apple Healthcare Lab.
Sport,"Kon Ichikawa examines the beauty and rich drama on display at the 1964 Summer Games in Tokyo, creating a record of observations that range from the expansive to the intimate."
Short,"W. Kamal Bell visits people in North Carolina and Tennessee who are living completely off the grid; inside the tiny house movement; legendary Summer of Love commune, The Farm; doomsday prepper who refuses to be identified."
History,"W. Kamal Bell visits people in North Carolina and Tennessee who are living completely off the grid; inside the tiny house movement; legendary Summer of Love commune, The Farm; doomsday prepper who refuses to be identified."
Reality-TV,"W. Kamal Bell visits people in North Carolina and Tennessee who are living completely off the grid; inside the tiny house movement; legendary Summer of Love commune, The Farm; doomsday prepper who refuses to be identified."
Sport,"W. Kamal Bell visits people in North Carolina and Tennessee who are living completely off the grid; inside the tiny house movement; legendary Summer of Love commune, The Farm; doomsday prepper who refuses to be identified."
Crime,"Bonnie and Marshall - ""Ti"" and ""Do"" enforce strict rules of no family communication. After Ti dies from cancer in 1985, a distraught Do briefly allows members to visit their families, When the members return, Do becomes more controlling."
Biography,"Constructed from over 500 hours of never-before-seen footage, this documentary centers on the career of celebrated football player Diego Maradona, who played for S.S.C. Napoli in the 1980s."
Sport,"Constructed from over 500 hours of never-before-seen footage, this documentary centers on the career of celebrated football player Diego Maradona, who played for S.S.C. Napoli in the 1980s."
Crime,"[HBO] HD. 'Sisters.' After opening up about her history, Barbara's sister Conway makes a stunning accusation."
Mystery,"[HBO] HD. 'Sisters.' After opening up about her history, Barbara's sister Conway makes a stunning accusation."
Crime,"The case of the West Memphis Three, its questionable circumstances and the parties involved are followed up years later."
Adventure,Anthony Bourdain tours Japan with legendary sushi chef Masa Takayama.
Crime,"Shortly after pledging his college fraternity, Midwest math whiz Syed Arbab uses funds raised from fellow students, alumni, and high school friends to start a hedge fund. Flush with cash, Syed becomes a campus legend, until a market crash causes his hedge fund (and life) to implode. As this stereotypical ""good kid"" breaks bad - trafficking cocaine, packing heat, and defrauding investors - the feds close in."
Adventure,"Jeremy drives the BMW I8, the Rural Simpleton is in a land-rover tribute and May is, well, just May."
Comedy,"Jeremy drives the BMW I8, the Rural Simpleton is in a land-rover tribute and May is, well, just May."
Reality-TV,"Jeremy drives the BMW I8, the Rural Simpleton is in a land-rover tribute and May is, well, just May."
Talk-Show,"Jeremy drives the BMW I8, the Rural Simpleton is in a land-rover tribute and May is, well, just May."
Crime,"Wayne Williams' appeals attorney receives evidence connecting the Klan to the murders. Forty years after the murders began, the victims' family members assert their unwavering commitment to finding out what really happened."
Crime,"Aaron Hernandez is a star player for the New England Patriots, and at the young age of 23, is set up for greatness. But less than a year later, a body is found riddled with bullets, only a short distance from Hernandez's home. Forensic evidence and surveillance footage from the night of the murder, examined in detail in this program, soon tie Hernandez to the crime scene."
Mystery,"Aaron Hernandez is a star player for the New England Patriots, and at the young age of 23, is set up for greatness. But less than a year later, a body is found riddled with bullets, only a short distance from Hernandez's home. Forensic evidence and surveillance footage from the night of the murder, examined in detail in this program, soon tie Hernandez to the crime scene."
Crime,"Examining the case of John Thompson, who was convicted in 1985 for a murder he did not commit."
Crime,The story of Army soldier Timothy Hennis and the North Carolina stabbing deaths of a mother and her two girls is full of twists and turns.
Adventure,"With a little local knowledge and knowing where to look, you will never go hungry in Alaska. There is an amazing bounty of edible flora and fauna in the Last Frontier, but beware you could be on their menu too."
